final_rank,content_id,client_id,final_refresh_score,best_model_name,best_model_probability,baseline_refresh_score,confidence,suggested_action,final_reason_codes,is_declining_label,impressions_90d,clicks_90d,sessions_90d,avg_position,ctr,content_age_days,days_since_last_update,word_count,trend_direction,competition_level,content_type,main_intent,age_tier,freshness_tier,word_count_tier,impression_tier,position_tier
43,content_b08562686d22,client_f369cb89fc,78.65214344156915,random_forest,0.7729763476138397,0.7714590096428571,medium,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,2846,4,5,2.0,0.14,106,106,2900.0,down,LOW,keyword article,informational,91-180,91-180,2000-3500,moderate,top_3
44,content_73f3a3c5e203,client_3fdba35f04,78.63994160289803,random_forest,0.8342488110558377,0.6376562760816327,high,refresh_and_review_engagement,declining_with_demand|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|engagement_review_candidate,1,2104,3,50,21.8,0.14,174,104,1434.0,down,LOW,keyword article,informational,91-180,91-180,1000-2000,moderate,page_3_5
45,content_04f9c8cfb061,client_3fdba35f04,78.61756466486722,random_forest,0.8102549055689778,0.6892078396683673,medium,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,1914,2,2,3.5,0.1,131,104,1531.0,down,MEDIUM,keyword article,commercial,91-180,91-180,1000-2000,moderate,page_1
46,content_021bc08109a8,client_3fdba35f04,78.5809057593351,random_forest,0.8173157614252196,0.6726921784501134,high,refresh_and_review_ctr,declining_with_demand|page_one_decay_risk|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,1818,2,22,7.1,0.11,310,104,1474.0,down,MEDIUM,keyword article,transactional,181-365,91-180,1000-2000,moderate,page_1
47,content_750142aace28,client_3fdba35f04,78.50309843100115,random_forest,0.8202173558691328,0.6639534374263037,medium,refresh,declining_with_demand|model_decline_risk|visible_model_opportunity,1,3031,2,5,23.6,0.07,174,104,1480.0,down,LOW,keyword article,informational,91-180,91-180,1000-2000,good,page_3_5
48,content_384d9f9e00c9,client_7f2253d7e2,78.47264383824908,random_forest,0.8512519101380454,0.5954271211950113,high,refresh_and_review_engagement,declining_with_demand|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|engagement_review_candidate,1,11465,55,63,21.4,0.48,141,20,4019.0,down,LOW,keyword article,informational,91-180,0-30,3500+,good,page_3_5
49,content_66677b99e328,client_7f2253d7e2,78.47236329519211,random_forest,0.8528684742006394,0.5918982632845804,high,refresh,declining_with_demand|model_decline_risk|visible_model_opportunity,1,29616,49,48,30.1,0.17,141,20,3808.0,down,LOW,keyword article,informational,91-180,0-30,3500+,good,page_3_5
50,content_8db4c406edc0,client_3fdba35f04,78.4567843819261,random_forest,0.782532060565416,0.7445739042828797,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate|engagement_review_candidate,1,3424,9,57,5.3,0.26,131,104,1370.0,down,HIGH,keyword article,commercial,91-180,91-180,1000-2000,good,page_1
51,content_e8a21e0ca537,client_7f2253d7e2,78.4555301158794,random_forest,0.8197624273570241,0.6634643211870749,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate|engagement_review_candidate,1,27812,77,77,14.9,0.28,147,20,4029.0,down,LOW,keyword article,informational,91-180,0-30,3500+,good,striking
52,content_7d6b854fc594,client_3fdba35f04,78.45433375932534,random_forest,0.8224938359351038,0.6574793573137754,medium,refresh,declining_with_demand|model_decline_risk|visible_model_opportunity,1,2683,0,5,22.9,0.0,148,104,1284.0,down,LOW,keyword article,informational,91-180,91-180,1000-2000,moderate,page_3_5
